idea,title_a,title_b,title_b_preferred
Gini value vs gini coefficient vs Gini impurity,"3 Key Concepts: Gini Value, Coefficient, & Impurity Explained",Gini Value vs Coefficient vs Impurity: A Quick Guide,1
Sensitivity analysis overview. What is sensitivity analysis and when you need it in your data science project.,What is Sensitivity Analysis? | Data Science Essentials,Why You Need Sensitivity Analysis Now,0
multimodal RAG,Master Multimodal RAG in Just 10 Minutes,How Multimodal RAG Will Revolutionize Information Retrieval,0
Surrogate models,Build Surrogate Models in 10 Minutes: A Quick Guide,Surrogate Models vs. Full Models: When to Use Each,0
decision tree ensembles,How Decision Tree Ensembles Can Boost Your Predictions,The Power of Decision Tree Ensembles Explained,0
the Mapper algorithm,Master the Mapper Algorithm in Just 5 Minutes,Unleash the Power of Mapper Algorithm for Better Insights,0
KMeans,KMeans Simplified: A Beginner's Guide,Unsupervised Learning Made Easy with KMeans,0
Statistics for data scientists,The 5 Stats Every Data Scientist Needs to Know,Statistics 101: Essential Concepts for Data Scientists,1
Fine-tuning BERT for text classification,5 Steps to Fine-Tuning BERT Like a Pro,From Raw Data to Classification Model: Fine-Tuning BERT Efficiently,1
fine-tuning LLMs,How I Fine-Tuned an LLM for Real-World Applications,Fine-Tuning LLMs: From Beginner to Expert,1
5 AI automation use cases,How AI Automates These 5 Tasks Effortlessly,AI Takes Over: 5 Automation Success Stories,0
multimodal RAG,How Multimodal RAG Will Revolutionize Information Retrieval,Build Your Own Multimodal RAG System: Step-by-Step,1
Spectral clustering,5 Key Concepts in Spectral Clustering Explained,Spectral Clustering Simplified: A Step-by-Step Guide,1
Regularization (ML),The Regularization Secret ML Pros Won't Tell You,Regularization 101: Simplified for ML Beginners,1
Fine-tuning LLMs for computer use,5 Steps to Fine-Tune LLMs Like a Pro,Boost Your LLM Skills: Fine-Tuning for Computer Use,0
Python essentials for data science,Master Python for Data Science in 30 Minutes,Python Data Science Essentials: A Quick Guide,0
Building an LLM from scratch,From Scratch: How I Built an LLM in 5 Days,The Ultimate LLM Blueprint: Build One Yourself,0
Continual learning (ML),7 Key ML Concepts to Master Continually,How to Stay Updated in ML: My 3-Step Plan,1
Data science project management,7 Steps to Manage Data Science Projects Like a Pro,Streamline Your Data Science Projects with These Tips,1
multimodal AI,Multimodal AI: Beyond Text for Better Insights,The Power of Multimodal AI in Real-World Applications,1
LLMs,7 Surprising LLM Applications You Need to Know,Unlock LLM Potential: 5 Must-Know Techniques,0
Building an LLM from scratch,Build Your Own LLM: The Step-by-Step Guide,How to Build an LLM: The Complete Guide,1
Gradient descent,How Gradient Descent Works in 5 Minutes,Gradient Descent Intuition & Math Simplified,0
causal effects with regression,Understanding Causal Effects with Regression,Mastering Causal Effects Through Regression,0
Surrogate models,How Surrogate Models Can Boost Your Machine Learning Workflow,Build Surrogate Models in 10 Minutes: A Quick Guide,1
Self-organizing map,5 Key Concepts of Self-Organizing Maps Explained,Unsupervised Learning Made Easy: Self-Organizing Maps,1
Optimization,How to Optimize Your Workflow in 10 Minutes,Maximize Efficiency: Optimization Strategies Explained,0
How to detect fat tailed distributions,5 Ways to Spot Fat Tailed Distributions Fast,Fat Tailed Distributions: What They Are and How to Find Them,0
Variational autoencoders,5 Key Concepts of Variational Autoencoders Simplified,How Variational Autoencoders Can Revolutionize Your Projects,0
Gaussian mixture model,Gaussian Mixture Models Simplified,Mastering Gaussian Mixture Models in 15 Minutes,0
text embedding models,How Text Embedding Models Transform NLP,Top 3 Text Embedding Models Every Data Scientist Should Know,0
Power law scaling on Youtube,How I Grew My Channel 10x Using Power Laws,From Zero to Hero: Scaling YouTube with Power Laws,0
Building an AI app in 4 days,4-Day Guide: Building Your First AI App,AI App in 4 Days: My Fast Track to Success,1
5 physics principles that made me a better data scientist,5 Physics Principles That Boosted My Data Science Skills,How Physics Made Me a Better Data Scientist,0
Optimization,7 Optimization Hacks to Boost Your Productivity,Maximize Efficiency: Optimization Strategies Explained,0
Fine-tuning LLMs on human feedback,How Human Feedback Transforms LLMs,Maximize LLMs with These Human Feedback Techniques,0
Regularization (ML),How Regularization Can Save Your Machine Learning Project,Boost Your ML Model with These Regularization Tips,0
data pipelines for ML projects,How to Automate Your ML Data Pipeline,ML Data Pipelines 101: From Start to Finish,0
Gaussian mixture model,Introduction to Gaussian Mixture Models,Gaussian Mixture Models Simplified,0
What is entropy?,Entropy: The Basics You Need to Know,Entropy Decoded: A Beginner's Guide,1
5 AI project ideas,5 AI Projects That Will Blow Your Mind!,Build These AI Projects in Under an Hour,1
multimodal AI,How Multimodal AI Combines Text & Images,Unlocking Multimodal AI: A Beginner's Guide,1
How to measure fat tailed distributions,5 Key Methods for Taming Fat Tailed Distributions,Understanding Fat Tailed Distributions Like a Pro,1
Evaluating binary classification models,How to Evaluate Binary Classification Models Effectively,Binary Classification Metrics: A Deep Dive,1
Python tutorial for AI beginners,Python for AI: Start Coding Today!,Python AI Tutorial: Fast Track to Success,1
Fine-tuning LLMs with QLoRA,5 Steps to Fine-Tune LLMs with QLoRA,Unlock LLM Potential with QLoRA: A Beginner's Guide,0
Fine-tuning LLMs on human feedback,How Human Feedback Transforms LLMs,The Secret to Better LLMs: Fine-Tuning Tips,0
2 plots for exploratory data analysis,Boost Your EDA Skills with 2 Key Plots,Visualize Data Magic with These 2 Plots,0
"Deploying ML solutions with FastAPI, Docker, and AWS","Deploy ML with Ease: FastAPI, Docker, AWS - Full Walkthrough","Speed Up ML Deployment: FastAPI, Docker, AWS - Step-by-Step",0
"Probability, likelihood, odds, chance, odds ratio","The Essential Guide to Probability, Likelihood, and Odds","Odds, Probability, and Likelihood: A Beginner’s Guide",1
SHAP values,Unlock SHAP Values for Better Model Interpretation,SHAP Values: The Missing Link in ML Interpretability,1
Practical use case with decision trees,Build a Decision Tree in Minutes: Practical Example,Decision Trees for Beginners: A Practical Use Case,1
"ROC, AUC. Generalizing to decision trees and other classifiers","ROC, AUC Explained: Your Guide to Decision Trees","Beyond Linear Models: ROC, AUC & Decision Trees",0
Habituation in causal inference,Understanding Habituation in Causal Inference,Unveiling Habituation: A Key to Causal Inference,0
Python tutorial for AI beginners,Python AI Basics: Your Ultimate Guide,AI with Python: The Easy Way to Begin,0
Neural network dropout,How Dropout Regularizes Neural Networks,Dropout Mechanism in Deep Learning: Simplified,1
How I become a data scientist (my journey to data science from Physics),My Journey from Physics to Data Science,My 5-Year Leap from Physics to Data Science,0
"Deploying ML solutions with FastAPI, Docker, and AWS","Get ML Deployed with FastAPI, Docker, and AWS in 30 Min","The Ultimate Guide to ML Deployment with FastAPI, Docker, and AWS",1
decision trees,Master Decision Trees with These 5 Tips,Decision Trees vs Other Models: Which to Choose?,0
Genetic algorithm,Build Your Own Genetic Algorithm in 15 Minutes,Genetic Algorithms: The Ultimate Optimization Tool,1
Transformers (ML),5 Key Transformers Concepts You Need to Know,Transformers vs RNNs: What's the Difference?,0
"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence",KS-test vs KL Divergence: Which One Should You Use?,How to Choose the Right Distance Metric for Distributions,0
Fine-tuning LLMs for tool use,5 Steps to Fine-Tune LLMs Like a Pro,The Ultimate Guide to LLM Fine-Tuning for Tools,1
7 ways to make money as a data entrepreneur.,How I Made $50K+ as a Data Biz Owner,7 Ways to Monetize Your Data Expertise,0
"Probability, likelihood, odds, chance, odds ratio","Mastering Probability: Likelihood, Odds, and Chance Explained",Probability vs Likelihood vs Odds: What’s the Difference?,1
Interviewing 10 upwork millionaires,Top Insights from 10 Upwork Millionaires,Inside the Minds of Upwork Millionaires,0
LLM evals,The 7 Crucial Tests for Evaluating LLMs Effectively,LLM Evaluations 101: What You Need to Know,1
How I become a data scientist (my journey to data science from Physics),How I Switched to Data Science (My Story),From Physics to Data Science: My Path,0
What is an AI project manager?,5 Key Roles of an AI Project Manager,Behind the Scenes: AI Project Manager's Duties,0
Statistics for data scientists,Master Stats for Data Science in 30 Minutes,Boost Your Data Science Skills with These Stats,0
data pipelines for ML projects,The Ultimate Guide to ML Data Pipelines,How to Automate Your ML Data Pipeline,0
How to handle imbalanced data in ML,Imbalanced Data? Here’s How to Balance the Scales,The Ultimate Guide to Dealing with Imbalanced Data,1
KMeans,5 Key Steps to Mastering KMeans Clustering,KMeans Simplified: A Beginner's Guide,1
5 physics principles that made me a better data scientist,5 Physics Principles That Boosted My Data Science Skills,5 Surprising Physics Concepts That Improved My Data Science,0
Fine-tuning FLUX.1 on images of me,How I Fine-Tuned FLUX.1 for My Images,My FLUX.1 Fine-Tuning Journey in 15 Minutes,1
7 ways to make money as a data entrepreneur.,Data Entrepreneur Income Boosters Revealed,Turn Data Skills into Cash: 7 Pro Tips,1
multimodal AI,Unlocking Multimodal AI: A Beginner's Guide,Multimodal AI: Beyond Text for Better Insights,0
How to handle imbalanced data in ML,ML Mastery: Fixing Imbalanced Data in 5 Steps,The Ultimate Guide to Dealing with Imbalanced Data,1
Python essentials for data science,Python Data Science Essentials: A Quick Guide,Boost Your Data Science Skills with These 7 Python Tips,0
Logistic regression,How Logistic Regression Works in 10 Minutes,Logistic Regression: The Basics You Need to Know,0
Why I quit my 6F data science job,From Data Scientist to Entrepreneur: My Unexpected Path,Why I Left My Data Science Job & What I Found Next,1
persistent homology,Introduction to Persistent Homology: Topological Data Analysis,How Persistent Homology Can Transform Your Data Analysis,0
Expectation values,Understanding Expectation Values in 5 Minutes,The Surprising Power of Expectation Values Explained,0
Building a resume optimizer with AI,Build a Resume Optimizer with AI: Code Walkthrough,AI Resume Optimizer: The Full Code Tutorial,1
Transformers (ML),How Transformers Revolutionize NLP in 5 Minutes,Transformers vs RNNs: What's the Difference?,0
How to detect fat tailed distributions,Understanding Fat Tailed Distributions Like a Pro,Fat Tailed Distributions: What They Are and How to Find Them,1
Regularization (ML),5 Key Regularization Techniques for ML Models,Boost Your ML Model with These Regularization Tips,0
Fourier transform,5 Key Points of Fourier Transform Explained,Master Fourier Transform in Just 5 Minutes,1
SHAP values,5 Key SHAP Values You Need to Know,SHAP Values: The Missing Link in ML Interpretability,1
Synthetic data generation with LLMs,5 Ways LLMs Can Revolutionize Synthetic Data,LLMs for Synthetic Data: 4 Key Techniques Explained,1
fat tailed distribtions,Understanding Fat-Tailed Distributions in 5 Minutes,Fat-Tailed Distributions: What You Need to Know,0
Optimization,7 Optimization Hacks to Boost Your Productivity,Optimization Techniques That Will Change Your Life,1
multimodal AI,Multimodal AI: The Future of Data Processing,Unlocking Multimodal AI: A Beginner's Guide,1
model quantization,How to Quantize Models for Faster Inference (Explained),Reduce Model Size & Speed Up Inference with Quantization,0
Optimization,7 Optimization Hacks to Boost Your Productivity,How to Optimize Your Workflow in 10 Minutes,1
Python essentials for data science,10 Python Skills Every Data Scientist Needs,From Beginner to Pro: Python for Data Science Basics,0
wavelet transform,Master Wavelet Transform in Just 10 Minutes!,Wavelet Transform: Decoding Signals Like a Pro,1
Mechanistic interpretability,Dive into Mechanistic Interpretability: What You Need to Know,Unlocking Model Transparency with Mechanistic Interpretability,0
LLMs,The Future is Now: What LLMs Can Do Today,Unlock LLM Potential: 5 Must-Know Techniques,0
topological data analysis,Top 5 Applications of Topological Data Analysis,Revolutionizing Data Analysis with Topology,0
Gradient descent,How Gradient Descent Works in 5 Minutes,Speed Up Machine Learning with Gradient Descent,0
Habituation in causal inference,Understanding Habituation in Causal Inference,Mastering Habituation for Better Causal Inference,0
AI for business,AI in Business: 5 Key Strategies for Success,How AI Can Boost Your Business Efficiency,1
How to handle imbalanced data in ML,ML Mastery: Fixing Imbalanced Data in 5 Steps,Imbalanced Data? Here’s How to Balance the Scales,1
AI agents,AI Agents vs Humans: Who Wins in Productivity?,Master AI Agents: Automate Your Life and Work,1
LLM Fine-tuning FAQ,10 FAQs About LLM Fine-tuning Solved,LLM Fine-tuning Demystified: 6 FAQs You Need to Know,0
Genetic algorithm,5 Key Concepts of Genetic Algorithms Simplified,Build Your Own Genetic Algorithm in 15 Minutes,1
Fuzzy decision trees,How Fuzzy Decision Trees Simplify Complex Choices,Fuzzy Decision Trees: When Precise Isn't Enough,1
Fine-tuning FLUX.1 on images of me,My FLUX.1 Fine-Tuning Journey in 15 Minutes,Boost Your Images with FLUX.1 Fine-Tuning Secrets,1
Power law scaling on Youtube,5 Secrets to Scaling Your YouTube Channel Fast,The Power Law Formula for YouTube Growth,0
multimodal AI,Multimodal AI: The Future of Data Processing,The Power of Multimodal AI in Real-World Applications,0
the Mapper algorithm,5 Key Insights Into the Mapper Algorithm,Unleash the Power of Mapper Algorithm for Better Insights,1
Evaluating binary classification models,How to Evaluate Binary Classification Models Effectively,Spotting Model Weaknesses: Binary Classification Edition,0
stable diffusion models,How Stable Diffusion Models Generate Stunning Images,Step-by-Step Guide to Building Stable Diffusion Models,1
Building data pipelines with Python and GitHub actions,Streamline Your Workflow with Python & GitHub Actions,Automate Data Pipelines Using Python & GitHub Actions,1
causal effects with regression,How Regression Reveals Causal Effects,Mastering Causal Effects Through Regression,1
Neural network dropout,Dropout Technique: Boosting Neural Network Performance,Dropout Mechanism in Deep Learning: Simplified,1
"AI risk, safety, and alignment",Aligning AI: 3 Key Steps to Success,"The Future of AI: Risks, Safety, and Alignment",1
Power law scaling on Youtube,Power Law Scaling: The Key to YouTube Success,The Power Law Formula for YouTube Growth,0
Fine-tuning LLMs to think (advanced reasoning),Mastering LLM Fine-Tuning for Advanced Reasoning,Boost LLMs' Thinking Skills with These Techniques,0
5 physics principles that made me a better data scientist,Apply These 5 Physics Principles to Data Science,Physics Meets Data Science: 5 Key Concepts,0
Hyperparameter optimization,Hyperparameter Optimization: A Beginner's Guide,Master Hyperparameter Optimization in Just 10 Minutes,0
RL with AI feedback,5 RL Tricks AI Will Love,Master RL with AI Guidance: 5 Key Steps,1
Logistic regression,5 Key Points in Logistic Regression Explained,Master Logistic Regression with These 3 Simple Steps,0
Silhouette plots,Master Silhouette Plots for Clustering Analysis,Visualizing Clusters Like a Pro with Silhouette Plots,0
Fourier transform,How Fourier Transform Simplifies Signal Processing,Decode Any Signal with Fourier Transform Magic,0
How to handle missing data,5 Clever Ways to Fill Missing Data (Explained),The Ultimate Guide to Dealing with Missing Data,1
Fine-tuning multimodal embedding models,The Ultimate Guide to Fine-Tuning Multimodal Models,Boost Your Multimodal Models with These Techniques,0
causal inference,Understand Causal Inference in 5 Minutes,Master Causal Inference for Data Science,0
Fine-tuning FLUX.1 on images of me,How I Fine-Tuned FLUX.1 for My Images,FLUX.1 Fine-Tuning Tips: From Zero to Hero,0
Evaluating binary classification models,5 Key Metrics for Binary Classification Models,Spotting Model Weaknesses: Binary Classification Edition,0
Fine-tuning LLMs with QLoRA,QLoRA: The New Kid on the Fine-Tuning Block,QLoRA for LLMs: What You Need to Know,1
causal effects with regression,Understanding Causal Effects with Regression,Regression Analysis for Causal Effects,1
5 AI automation use cases,5 AI Automation Hacks to Boost Productivity,AI Takes Over: 5 Automation Success Stories,0
5 AI automation use cases,5 AI Automation Hacks to Boost Productivity,Streamline Your Work with These 5 AI Automations,1
the Mapper algorithm,How the Mapper Algorithm Simplifies Complex Data,Unleash the Power of Mapper Algorithm for Better Insights,0
Full-stack data science skillset,Build a Full-Stack Data Scientist Skillset,How to Become a Full-Stack Data Scientist in 2024,1
Gaussian process regression,Master Gaussian Processes in Minutes,Gaussian Processes for Predictive Modeling,1
Intro independent component analysis,5 Key Concepts in Independent Component Analysis,Independent Component Analysis: What It Is and Why It Matters,1
Gradient descent,Master Gradient Descent: A Beginner's Guide,Gradient Descent Intuition & Math Simplified,1
Habituation in causal inference,Unveiling Habituation: A Key to Causal Inference,Mastering Habituation for Better Causal Inference,1
decision trees,Decision Trees 101: The Ultimate Guide,Decision Trees vs Other Models: Which to Choose?,0
Fine-tuning LLMs on human feedback,5 Steps to Fine-Tune LLMs Like a Pro,The Secret to Better LLMs: Fine-Tuning Tips,1
Power law scaling on Youtube,5 Secrets to Scaling Your YouTube Channel Fast,Power Law Scaling: The Key to YouTube Success,1
Gaussian process regression,Gaussian Process Regression Simplified,Introduction to Gaussian Process Regression,1
Building a resume optimizer with AI,Build a Resume Optimizer with AI: Code Walkthrough,Step-by-Step: Build Your Own Resume Optimizer with AI,0
wavelet transform,Introduction to Wavelet Transform: The Power Behind Signal Processing,How Wavelet Transform Can Revolutionize Your Data Analysis,0
Practical use case with decision trees,5 Key Steps to Build a Decision Tree Model,Decision Trees for Beginners: A Practical Use Case,1
stable diffusion models,Stable Diffusion Models: Revolutionizing Image Generation,Understanding Stable Diffusion Models for Beginners,1
fat tailed distribtions,The Surprising Truth About Fat-Tailed Risks,Beyond Normal: Exploring Fat-Tailed Distributions,1
Regularization (ML),5 Key Regularization Techniques for ML Models,The Regularization Secret ML Pros Won't Tell You,0
Logistic regression,How Logistic Regression Works in 10 Minutes,Real-World Examples of Logistic Regression Success,0
Statistics for data scientists,Master Stats for Data Science in 30 Minutes,How Statistics Predicts the Future | Data Science,0
LLM Fine-tuning FAQ,10 FAQs About LLM Fine-tuning Solved,LLM Fine-tuning 101: 7 Essential FAQs,0
Fine-tuning LLMs on human feedback,The Secret to Better LLMs: Fine-Tuning Tips,Inside LLM Fine-Tuning: My Pro Tips,0
Variational autoencoders,Variational Autoencoders 101: From Basics to Advanced,Master Variational Autoencoders in Just 5 Minutes!,0
Fine-tuning LLMs to think (advanced reasoning),5 Advanced Techniques for LLM Fine-Tuning,Boost LLMs' Thinking Skills with These Techniques,0
causal discovery,Unlock Causal Discovery in Just 5 Minutes!,Causal Discovery Made Easy: A Beginner’s Guide,1
Python tutorial for AI beginners,Learn AI with Python in 30 Minutes,AI with Python: The Easy Way to Begin,0
"AI risk, safety, and alignment",5 Critical AI Risks You Must Know,How to Ensure AI Safety in 2025,0
Genetic algorithm,5 Key Concepts of Genetic Algorithms Simplified,How Genetic Algorithms Can Solve Complex Problems,1
How I become a data scientist (my journey to data science from Physics),From Physics to Data Science: My Path,Overcoming Challenges: My Data Science Journey,0
Fine-tuning BERT for text classification,5 Steps to Fine-Tuning BERT Like a Pro,Boost Your Text Classification Game with BERT Fine-Tuning,1
"P-Values. definition, examples, and misconceptions","P-Values Explained: Definitions, Examples, and Myths","P-Values Decoded: Definitions, Examples, and Common Mistakes",0
Self-organizing map,How Self-Organizing Maps Can Revolutionize Data Analysis,The Power of Self-Organizing Maps in Dimensionality Reduction,1
Fine-tuning multimodal embedding models,Mastering Multimodal Embeddings: Tips and Tricks,The Ultimate Guide to Fine-Tuning Multimodal Models,1
AI for business,AI in Business: 5 Key Strategies for Success,Transform Your Business with AI: Step-by-Step Guide,0
Fine-tuning BERT for text classification,How I Fine-Tuned BERT for Text Classification in 2 Hours,Master Text Classification with BERT: A Step-by-Step Guide,0
FFT,How FFT Revolutionizes Data Processing,FFT Made Easy: A Beginner's Guide,1
LLM post-training,4 Key Steps in LLM Post-Training Success,Maximize LLM Potential with Post-Training Techniques,1
"Naive Bayes, Naive Bayes filter",Naive Bayes vs Spam Emails: Why It’s Still Relevant,Naive Bayes Simplified: A Data Scientist's Perspective,1
How to measure fat tailed distributions,The Ultimate Guide to Measuring Fat Tails,How to Accurately Measure Fat Tailed Distributions,1
LLM evals,The 7 Crucial Tests for Evaluating LLMs Effectively,Beyond the Surface: Deep LLM Evaluation Techniques,0
fat tailed distribtions,How Fat-Tailed Distributions Affect Your Investments,Beyond Normal: Exploring Fat-Tailed Distributions,1
principal component analysis,Master PCA in Just 10 Minutes,Unleash the Power of PCA with These Tips,0
Gaussian mixture model,Gaussian Mixture Models Simplified,Gaussian Mixture Models: Your New Best Friend,0
5 physics principles that made me a better data scientist,Apply These 5 Physics Principles to Data Science,5 Surprising Physics Concepts That Improved My Data Science,0
LLM evals,LLM Evaluations 101: What You Need to Know,Beyond the Surface: Deep LLM Evaluation Techniques,0
LLM Fine-tuning FAQ,LLM Fine-tuning 101: 7 Essential FAQs,The Most Asked Questions About LLM Fine-tuning Explained,1
LLMs,How LLMs Will Transform Your Career in 2025,LLMs vs. Humans: Who Will Win in 2025?,0
Gaussian mixture model,How Gaussian Mixture Models Work Explained,Gaussian Mixture Models: Your New Best Friend,0
FFT,5 Key Points of FFT Explained Simply,Unlock FFT: The Fastest Signal Processing Technique,1
data pipelines for ML projects,The Ultimate Guide to ML Data Pipelines,ML Data Pipelines 101: From Start to Finish,0
2 plots for exploratory data analysis,Exploring Data Like a Pro in 2 Plots,Boost Your EDA Skills with 2 Key Plots,0
Evaluating binary classification models,Binary Classification Metrics: A Deep Dive,Spotting Model Weaknesses: Binary Classification Edition,0
Neural network dropout,What is Neural Network Dropout? Explained!,How Dropout Regularizes Neural Networks,1
"Naive Bayes, Naive Bayes filter",How Naive Bayes Works: A Step-by-Step Breakdown,Naive Bayes Simplified: A Data Scientist's Perspective,0
persistent homology,Introduction to Persistent Homology: Topological Data Analysis,Master Persistent Homology: A Step-by-Step Guide,0
How to think like a data scientist,From Novice to Data Scientist: Thinking Strategies,Unlock Data Science Thinking: A Beginner's Guide,1
How to handle missing data,5 Clever Ways to Fill Missing Data (Explained),4 Steps to Fix Missing Data in Your Dataset,1
"Fractals, self similarity, and crinkliness",5 Surprising Facts About Fractals and Self-Similarity,Self-Similarity in Nature: From Trees to Coastlines,1
Gini value vs gini coefficient vs Gini impurity,"Gini Value, Coefficient, & Impurity: What’s the Difference?","Gini Value, Coefficient, & Impurity: Which One to Use?",0
5 AI project discovery questions,Discover AI Projects That Will Impress Employers,Uncover These 5 AI Projects for Your Resume,0
fat tailed distribtions,The Surprising Truth About Fat-Tailed Risks,How Fat-Tailed Distributions Affect Your Investments,0
Expectation values,Understanding Expectation Values in 5 Minutes,How Expectation Values Shape Our Decisions,0
What is an AI project manager?,5 Key Roles of an AI Project Manager,The Ultimate Guide to AI Project Management,1
Habituation in causal inference,Unveiling Habituation: A Key to Causal Inference,The Role of Habituation in Accurate Causal Inference,1
"AI risk, safety, and alignment",Aligning AI: 3 Key Steps to Success,Navigating AI Ethics: What You Need to Know,0
Variational autoencoders,How Variational Autoencoders Can Revolutionize Your Projects,Variational Autoencoders 101: From Basics to Advanced,1
Expectation values,Understanding Expectation Values in 5 Minutes,Unveiling the Secrets of Expectation Values Today,0
GitHub for data science,GitHub for Data Science: Supercharge Your Projects!,Streamline Your Data Science Workflow with GitHub,1
Fourier transform,How Fourier Transform Simplifies Signal Processing,Fourier Transform: The Essential Guide for Beginners,1
Hierarchical clustering,Unleash the Power of Hierarchical Clustering Today!,The Ultimate Guide to Hierarchical Clustering for Data Science,1
Building a resume optimizer with AI,How I Built a Resume Optimizer Using AI (Code Tutorial),Step-by-Step: Build Your Own Resume Optimizer with AI,0
model quantization,How to Quantize Models for Faster Inference (Explained),Boost Your AI Model Efficiency with Quantization Techniques,0
Fourier transform,Master Fourier Transform in Just 5 Minutes,Fourier Transform: The Essential Guide for Beginners,0
Key lessons from interviews with top upwork data science freelancers,7 Secrets Top Upwork Data Scientists Swear By,Maximize Your Upwork Data Science Gigs: Expert Advice,0
How to detect fat tailed distributions,How to Identify Fat Tailed Distributions in 5 Minutes,Detecting Fat Tailed Distributions: A Step-by-Step Guide,1
Gradient descent,5 Key Steps in Gradient Descent Explained,Gradient Descent Intuition & Math Simplified,1
Power law scaling on Youtube,Power Law Scaling: The Key to YouTube Success,From Zero to Hero: Scaling YouTube with Power Laws,0
"Probability, likelihood, odds, chance, odds ratio","5 Key Concepts: Probability, Likelihood, Odds, and More!",Probability vs Likelihood vs Odds: What’s the Difference?,1
Full-stack data science skillset,Master Full-Stack Data Science in 7 Steps,Full-Stack Data Science: From A to Z,0
"My $15,000 content creation strategy",How I Generated $15K+ with These Content Tactics,5 Steps to Doubling Your Content Revenue (Free eBook),0
causal discovery,Unlock Causal Discovery in Just 5 Minutes!,The Ultimate Guide to Causal Discovery,1
model quantization,5 Ways Model Quantization Can Boost AI Performance,The Ultimate Guide to Model Quantization in 2024,1
stable diffusion models,How Stable Diffusion Models Generate Stunning Images,Stable Diffusion Models: Revolutionizing Image Generation,1
topological data analysis,How Topological Data Analysis Shapes AI,Revolutionizing Data Analysis with Topology,1
FFT,5 Key Points of FFT Explained Simply,Master FFT in Just 10 Minutes!,1
Key lessons from interviews with top upwork data science freelancers,7 Secrets Top Upwork Data Scientists Swear By,Top Tips from Pro Upwork Data Scientists Revealed,0
5 biases every data scientist should know (and how to avoid them),5 Sneaky Biases Every Data Scientist Must Watch Out For,How to Identify and Overcome 5 Key Biases in Data Science,0
"P-Values. definition, examples, and misconceptions",5 Key Points About P-Values You Need to Know,"P-Values Explained: Definitions, Examples, and Myths",1
fine-tuning LLMs,5 Steps to Fine-Tune LLMs Like a Pro,Boost Your LLM Skills with These Fine-Tuning Techniques,1
Sensitivity analysis overview. What is sensitivity analysis and when you need it in your data science project.,Why You Need Sensitivity Analysis Now,How Sensitivity Analysis Impacts Your Data Projects,0
stable diffusion models,Step-by-Step Guide to Building Stable Diffusion Models,Stable Diffusion Models: Revolutionizing Image Generation,1
wavelet transform,How Wavelet Transform Can Revolutionize Your Data Analysis,Quick Guide to Wavelet Transform for Beginners,1
Full-stack data science skillset,Full-Stack Data Science: From A to Z,How to Become a Full-Stack Data Scientist in 2024,1
persistent homology,Unleash the Power of Persistent Homology in Data Science,Simplifying Persistent Homology for Beginners,1
5 AI project discovery questions,Uncover These 5 AI Projects for Your Resume,How to Find the Best AI Projects in 5 Questions,0
fat tailed distribtions,Understanding Fat-Tailed Distributions in 5 Minutes,The Surprising Truth About Fat-Tailed Risks,0
multimodal RAG,Master Multimodal RAG in Just 10 Minutes,Build Your Own Multimodal RAG System: Step-by-Step,0
Practical use case with decision trees,Real-World Decision Trees: A Practical Guide,Decision Trees for Beginners: A Practical Use Case,1
How to detect fat tailed distributions,5 Ways to Spot Fat Tailed Distributions Fast,Detecting Fat Tailed Distributions: A Step-by-Step Guide,1
fine-tuning LLMs,5 Steps to Fine-Tune LLMs Like a Pro,The Ultimate Guide to LLM Fine-Tuning in 2024,1
How to think like a data scientist,Master Data Science Thinking in 15 Minutes,Unlock Data Science Thinking: A Beginner's Guide,0
"Fractals, self similarity, and crinkliness",How Fractals Explain the World’s Most Complex Patterns,Self-Similarity in Nature: From Trees to Coastlines,0
wavelet transform,Master Wavelet Transform in Just 10 Minutes!,How Wavelet Transform Can Revolutionize Your Data Analysis,0
Fine-tuning BERT for text classification,Master Text Classification with BERT: A Step-by-Step Guide,Boost Your Text Classification Game with BERT Fine-Tuning,0
5 physics principles that made me a better data scientist,5 Physics Principles That Boosted My Data Science Skills,Apply These 5 Physics Principles to Data Science,1
causal inference,Causal Inference: From Basics to Advanced,Why Causal Inference Matters in Data Science,0
model pruning,How Model Pruning Can Cut Your Training Time in Half,The Surprising Benefits of Model Pruning for Beginners,0
Python tutorial for AI beginners,AI with Python: The Easy Way to Begin,Python AI Tutorial: Fast Track to Success,0
LLM alignment,LLM Alignment: What You Need to Know,The Future of LLM Alignment: What You Should Expect,0
reinforcement learning with human feedback (RLHF),5 Key Steps in RLHF for Better AI Models,RLHF in 15 Minutes: Boost Your AI Skills,1
Fine-tuning text embedding models,Fine-Tuning Text Embeddings: The Ultimate Guide,The Secret to Better Text Embeddings Revealed,0
Transformers (ML),Build Your Own Transformer Model (Step-by-Step),The 3 Secrets to Mastering Transformers for ML,0
"Deploying ML solutions with FastAPI, Docker, and AWS","FastAPI, Docker, AWS: Deploy ML Models Like a Pro","The Ultimate Guide to ML Deployment with FastAPI, Docker, and AWS",0
the Mapper algorithm,5 Key Insights Into the Mapper Algorithm,Master the Mapper Algorithm in Just 5 Minutes,1
Optimization,The Ultimate Guide to Optimization for Beginners,Optimization Techniques That Will Change Your Life,1
5 AI project discovery questions,Discover AI Projects That Will Impress Employers,How to Find the Best AI Projects in 5 Questions,0
